row_num,Name,Distance,Mass,Radius,Constellation,Declination,App.mag.,Orbitalperiod,Semimajoraxis,Ecc.,Discovery year,Gravity
0,15 sagittae,57.7,1.2341390958e+29,,Sagitta,+17° 04′ 13″,5.8,,14,,2002.0
1,2mass j0523-1403,40.3,1.3290728724000003e+26,57113.190957599996,,,,,,,,6.617155938253247e-07
2,54 piscium,36.1,1.00629803196e+29,,Pisces,+21° 15′ 02″,5.88,,476,,2006.0
3,54 piscium,36.1,1.44299340432e+27,624260.459304,,,,,,,,6.013511097892382e-08
4,61 cygni,11.41,1.3290728724e+27,441631.069614,,,,,,,,1.1066874400886655e-07
5,81 cancri,66,,,Cancer,14°  59 ′  39.6″,6.77,,,,2007.0
6,ab pictoris,66.6,2.5632119682e+28,,Pictor,−58° 03′ 15″,9.16,,275,,2005.0
7,achernar,144,1.27211260644e+28,6176193.90588,,,,,,,,5.416006006300493e-09
8,acrux,320,3.4176159576e+28,5910551.157240001,,,,,,,,1.5887761930271755e-08
9,adhara,430,2.3733444149999997e+28,9297496.2024,,,,,,,,4.458863458392948e-09
10,aldebaran,65,2.8480132979999997e+27,29220702.3504,,,,,,,,5.4169663502790353e-11
11,alhena,109,5.3162914896e+27,2191552.6762799304,,,,,,,,1.7976303147593796e-08
12,alioth,81,5.5061590428e+27,2789248.86072,,,,,,,,1.1493959137190707e-08
13,alkaid,104,1.15819207452e+28,2257963.36344,,,,,,,,3.6892852255049195e-08
14,almaaz,653,2.848013298e+28,92974962.024,,,,,,,,5.3506361500715364e-11
15,alnair,101,7.594702128e+27,2257963.36344,,,,,,,,2.419203426560603e-08
16,alnilam,"2,000",6.0757617024e+28,27892488.607199997,,,,,,,,1.2682989392762166e-09
17,alnitak,1050,6.265629255599999e+28,13282137.432,,,,,,,,5.767985769777117e-09
18,alpha centauri,4.4,2.0885430852e+27,796928.24592,,,,,,,,5.3407275646084434e-08
19,alphard,180,5.696026595999999e+27,33205343.58,,,,,,,,8.389797483312172e-11
20,alsephina[2],80,4.5568212768e+27,1925909.9276400001,,,,,,,,1.9951955965070563e-08
21,altair,17,3.4176159576e+27,1195392.36888,,,,,,,,3.8841655015334126e-08
22,antares,600,2.2784106383999997e+28,451592672.688,,,,,,,,1.8144025699204524e-12
23,arcturus,37,2.0885430852e+27,17266778.661599997,,,,,,,,1.1376697770763548e-10
